Championship Year,Country,Serie,Date,Time,Home Team,Away Team,Full Time Home Team Goals,Full Time Away Team Goals,Full Time Result,Half Time Home Team Goals,Half Time Away Team Goals,Half Time Result,Home Team Shots,Away Team Shots,Home Team Shots on Target,Away Team Shots on Target,Home Team Fouls Committed,Away Team Fouls Committed,Home Team Corners,Away Team Corners,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Market maximum home win odds,Market maximum draw win odds,Market maximum away win odds,Market average home win odds,Market average draw win odds,Market average away win odds,Market maximum over 2.5 goals,Market maximum under 2.5 goals,Market average over 2.5 goals,Market average under 2.5 goals
2022/2023,Italy,A,13/08/2022,17:30,Milan,Udinese,4,2,Home,2,2,D,14,9,5,4,16,13,5,1,1,4,0,0,1.46,5.1,9,1.41,4.75,8.14,1.82,2.21,1.73,2.14
2022/2023,Italy,A,13/08/2022,17:30,Sampdoria,Atalanta,0,2,Away,0,1,A,11,9,1,3,13,21,3,2,4,6,0,0,4.75,4.12,1.84,4.45,3.91,1.77,1.76,2.26,1.69,2.18
2022/2023,Italy,A,13/08/2022,19:45,Lecce,Inter,1,2,Away,0,1,A,10,19,4,9,21,19,6,8,4,2,0,0,12,6.15,1.33,10.22,5.67,1.3,1.65,2.46,1.6,2.37
2022/2023,Italy,A,13/08/2022,19:45,Monza,Torino,1,2,Away,0,1,A,15,13,4,6,6,17,2,7,1,2,0,0,2.68,3.48,2.94,2.58,3.29,2.84,2.21,1.84,2.09,1.76
2022/2023,Italy,A,14/08/2022,17:30,Fiorentina,Cremonese,3,2,Home,2,1,H,27,13,11,4,10,19,11,4,0,3,0,1,1.42,5.4,9.5,1.38,5.02,8.16,1.7,2.4,1.63,2.25
2022/2023,Italy,A,14/08/2022,17:30,Lazio,Bologna,2,1,Home,0,1,A,9,11,6,3,11,18,3,2,2,6,1,1,1.66,4.54,6,1.58,4.3,5.49,1.71,2.35,1.65,2.26
2022/2023,Italy,A,14/08/2022,19:45,Salernitana,Roma,0,1,Away,0,1,A,13,20,2,5,18,9,4,2,3,2,0,0,6.8,4.8,1.53,6.42,4.57,1.49,1.83,2.15,1.77,2.08
2022/2023,Italy,A,14/08/2022,19:45,Spezia,Empoli,1,0,Home,1,0,H,9,18,2,5,15,8,6,4,2,1,0,0,2.61,3.62,3.01,2.49,3.33,2.91,1.99,2,1.9,1.92
2022/2023,Italy,A,15/08/2022,17:30,Verona,Napoli,2,5,Away,1,2,A,6,25,3,8,15,6,4,8,2,2,0,0,3.66,3.8,2.2,3.46,3.58,2.1,1.86,2.13,1.78,2.05
2022/2023,Italy,A,15/08/2022,19:45,Juventus,Sassuolo,3,0,Home,2,0,H,14,19,4,7,7,5,3,2,1,3,0,0,1.5,5.2,7.5,1.46,4.81,6.65,1.57,2.6,1.52,2.52
2022/2023,Italy,A,20/08/2022,17:30,Torino,Lazio,0,0,Draw,0,0,D,10,7,1,2,11,12,6,4,0,5,0,0,3.12,3.55,2.43,2.99,3.45,2.38,1.93,2.05,1.87,1.95
2022/2023,Italy,A,20/08/2022,17:30,Udinese,Salernitana,0,0,Draw,0,0,D,15,17,2,6,9,12,6,6,2,4,1,0,1.78,4.04,4.95,1.75,3.89,4.63,1.83,2.14,1.78,2.06
2022/2023,Italy,A,20/08/2022,19:45,Inter,Spezia,3,0,Home,1,0,H,19,2,8,0,11,7,10,4,0,0,0,0,1.2,8.4,19,1.17,7.9,15.8,1.38,3.6,1.33,3.34
2022/2023,Italy,A,20/08/2022,19:45,Sassuolo,Lecce,1,0,Home,1,0,H,12,7,3,1,14,12,5,4,5,1,0,0,1.84,4.2,4.55,1.79,3.99,4.24,1.69,2.39,1.63,2.29
2022/2023,Italy,A,21/08/2022,17:30,Empoli,Fiorentina,0,0,Draw,0,0,D,4,19,2,2,13,11,1,9,1,3,1,0,3.9,4.1,2.02,3.73,3.83,1.94,1.71,2.28,1.66,2.23
2022/2023,Italy,A,21/08/2022,17:30,Napoli,Monza,4,0,Home,2,0,H,22,4,5,1,11,13,10,4,2,1,0,0,1.38,5.7,9.1,1.35,5.4,8.49,1.58,2.66,1.52,2.55
2022/2023,Italy,A,21/08/2022,19:45,Atalanta,Milan,1,1,Draw,1,0,H,11,18,2,7,15,6,4,6,4,3,0,0,2.93,3.68,2.57,2.79,3.49,2.5,1.83,2.19,1.74,2.11
2022/2023,Italy,A,21/08/2022,19:45,Bologna,Verona,1,1,Draw,1,1,D,17,19,5,3,10,14,9,8,3,3,1,0,2.25,3.6,3.45,2.2,3.5,3.3,1.86,2.07,1.82,2.01
2022/2023,Italy,A,22/08/2022,17:30,Roma,Cremonese,1,0,Home,0,0,D,27,14,12,3,7,14,5,6,0,3,0,0,1.27,6.75,17,1.24,6.14,13.06,1.7,2.37,1.63,2.29
2022/2023,Italy,A,22/08/2022,19:45,Sampdoria,Juventus,0,0,Draw,0,0,D,10,10,1,4,8,14,3,4,3,2,0,0,6.5,4.3,1.66,5.74,4.06,1.61,1.93,2.06,1.85,1.96
2022/2023,Italy,A,26/08/2022,17:30,Monza,Udinese,1,2,Away,1,1,D,10,15,5,4,16,10,3,5,3,2,0,0,3.28,3.55,2.4,3.15,3.43,2.3,1.91,2.05,1.86,1.97
2022/2023,Italy,A,26/08/2022,19:45,Lazio,Inter,3,1,Home,1,0,H,11,19,7,7,5,12,2,4,2,1,0,0,4.33,4.05,1.94,4.08,3.76,1.88,1.72,2.29,1.67,2.21
2022/2023,Italy,A,27/08/2022,17:30,Cremonese,Torino,1,2,Away,0,1,A,16,14,6,5,9,21,3,3,0,3,0,0,3.39,3.6,2.35,3.23,3.39,2.29,2.04,1.93,1.98,1.85
2022/2023,Italy,A,27/08/2022,17:30,Juventus,Roma,1,1,Draw,1,0,H,14,8,3,4,16,7,4,5,2,2,0,0,2.49,3.34,3.38,2.38,3.22,3.21,2.15,1.87,2.06,1.78
2022/2023,Italy,A,27/08/2022,19:45,Milan,Bologna,2,0,Home,1,0,H,19,8,7,0,13,9,5,1,2,1,0,0,1.4,5.9,10.5,1.35,5.37,8.74,1.64,2.41,1.61,2.34
2022/2023,Italy,A,27/08/2022,19:45,Spezia,Sassuolo,2,2,Draw,2,1,H,7,21,2,8,17,10,2,6,2,1,1,0,3.15,3.83,2.35,3.02,3.61,2.29,1.68,2.43,1.62,2.32
2022/2023,Italy,A,28/08/2022,17:30,Salernitana,Sampdoria,4,0,Home,2,0,H,9,17,6,6,19,14,6,3,2,2,0,0,2.6,3.4,3.18,2.47,3.24,3.04,2.06,1.9,1.99,1.84
2022/2023,Italy,A,28/08/2022,17:30,Verona,Atalanta,0,1,Away,0,0,D,14,15,2,7,15,7,7,6,3,3,0,0,4.6,4.18,1.85,4.3,3.94,1.8,1.69,2.34,1.65,2.25
2022/2023,Italy,A,28/08/2022,19:45,Fiorentina,Napoli,0,0,Draw,0,0,D,10,13,5,2,12,14,2,3,2,3,0,0,3.47,3.75,2.2,3.3,3.66,2.14,1.73,2.26,1.69,2.19
2022/2023,Italy,A,28/08/2022,19:45,Lecce,Empoli,1,1,Draw,1,1,D,15,9,5,3,10,5,3,5,1,2,0,0,2.54,3.6,3.12,2.39,3.45,2.97,1.87,2.12,1.79,2.05
2022/2023,Italy,A,30/08/2022,17:30,Sassuolo,Milan,0,0,Draw,0,0,D,8,10,3,2,14,13,3,8,5,2,0,0,6,4.65,1.66,5.45,4.29,1.6,1.57,2.58,1.53,2.5
2022/2023,Italy,A,30/08/2022,19:45,Inter,Cremonese,3,1,Home,2,0,H,18,11,7,4,6,14,6,6,0,3,0,0,1.17,11,29,1.14,9.13,18.79,1.34,3.9,1.29,3.56
2022/2023,Italy,A,30/08/2022,19:45,Roma,Monza,3,0,Home,2,0,H,14,13,7,1,10,7,5,4,0,3,0,0,1.32,6.21,12,1.3,5.89,10,1.57,2.65,1.52,2.54
2022/2023,Italy,A,31/08/2022,17:30,Empoli,Verona,1,1,Draw,1,0,H,16,9,4,3,5,21,7,10,0,4,0,0,2.79,3.55,2.75,2.69,3.36,2.66,1.91,2.07,1.83,2.01
2022/2023,Italy,A,31/08/2022,17:30,Sampdoria,Lazio,1,1,Draw,0,1,A,10,13,3,6,10,7,5,7,0,2,0,0,4.33,3.86,1.94,4.11,3.67,1.89,1.92,2.01,1.87,1.95
2022/2023,Italy,A,31/08/2022,17:30,Udinese,Fiorentina,1,0,Home,1,0,H,8,12,3,2,13,9,3,7,1,2,0,0,2.85,3.6,2.69,2.71,3.47,2.58,1.85,2.14,1.79,2.04
2022/2023,Italy,A,31/08/2022,19:45,Juventus,Spezia,2,0,Home,1,0,H,15,9,3,0,1,4,7,3,0,2,0,0,1.3,6.45,15,1.27,5.79,11.84,1.73,2.35,1.66,2.23
2022/2023,Italy,A,31/08/2022,19:45,Napoli,Lecce,1,1,Draw,1,1,D,19,9,7,4,1,3,6,4,1,4,0,0,1.29,6.7,13,1.26,6.24,10.99,1.49,2.88,1.45,2.74
2022/2023,Italy,A,01/09/2022,19:45,Atalanta,Torino,3,1,Home,1,0,H,12,8,5,2,14,13,7,2,1,3,0,0,1.76,4.3,5.36,1.71,3.94,4.95,1.8,2.26,1.7,2.17
2022/2023,Italy,A,01/09/2022,19:45,Bologna,Salernitana,1,1,Draw,0,0,D,11,20,4,4,10,11,1,8,2,2,0,0,1.93,3.75,4.65,1.88,3.57,4.26,1.85,2.13,1.79,2.04
2022/2023,Italy,A,03/09/2022,14:00,Fiorentina,Juventus,1,1,Draw,1,1,D,17,4,5,1,13,12,10,2,1,3,0,0,3.25,3.3,2.51,3.06,3.22,2.46,2.21,1.79,2.11,1.74
2022/2023,Italy,A,03/09/2022,17:00,Milan,Inter,3,2,Home,1,1,D,21,16,5,5,10,12,2,5,5,2,0,0,2.91,3.42,2.76,2.79,3.3,2.63,1.94,2.05,1.84,1.99
2022/2023,Italy,A,03/09/2022,19:45,Lazio,Napoli,1,2,Away,1,1,D,8,19,2,7,12,14,6,8,4,0,0,0,3.04,3.84,2.43,2.93,3.56,2.38,1.81,2.22,1.72,2.14
2022/2023,Italy,A,04/09/2022,11:30,Cremonese,Sassuolo,0,0,Draw,0,0,D,10,17,0,7,16,6,2,3,1,1,0,0,3.38,3.7,2.4,3.05,3.53,2.31,1.73,2.31,1.68,2.19
2022/2023,Italy,A,04/09/2022,14:00,Spezia,Bologna,2,2,Draw,1,1,D,15,13,5,6,12,5,7,2,4,1,0,0,3.19,3.5,2.55,3.04,3.27,2.45,1.93,2.02,1.86,1.96
2022/2023,Italy,A,04/09/2022,17:00,Verona,Sampdoria,2,1,Home,2,1,H,17,11,9,3,16,11,7,2,2,2,0,0,2.1,3.72,3.79,2.06,3.53,3.64,1.96,2,1.89,1.93
2022/2023,Italy,A,04/09/2022,19:45,Udinese,Roma,4,0,Home,1,0,H,11,12,5,2,16,13,3,7,3,2,0,0,4.42,4.03,1.97,4.01,3.68,1.92,1.89,2.18,1.82,2.01
2022/2023,Italy,A,05/09/2022,17:30,Monza,Atalanta,0,2,Away,0,0,D,11,13,3,6,9,10,4,9,1,1,0,0,6.82,4.85,1.63,5.64,4.3,1.58,1.7,2.37,1.65,2.26
2022/2023,Italy,A,05/09/2022,17:30,Salernitana,Empoli,2,2,Draw,1,1,D,15,11,4,5,7,9,6,7,3,2,0,0,2.43,3.69,3.45,2.27,3.43,3.21,1.97,2.15,1.9,1.92
2022/2023,Italy,A,05/09/2022,19:45,Torino,Lecce,1,0,Home,1,0,H,13,10,4,2,16,8,4,4,2,1,0,0,1.78,4.13,5.51,1.73,3.7,5.11,1.91,2.21,1.83,1.99
2022/2023,Italy,A,10/09/2022,14:00,Napoli,Spezia,1,0,Home,0,0,D,28,10,6,1,6,14,10,5,1,2,0,0,1.3,6.7,15,1.26,6.27,11.33,1.51,2.75,1.48,2.65
2022/2023,Italy,A,10/09/2022,17:00,Inter,Torino,1,0,Home,0,0,D,16,9,3,7,8,17,6,5,1,2,0,0,1.48,5.1,8,1.45,4.77,7.01,1.73,2.35,1.67,2.23
2022/2023,Italy,A,10/09/2022,19:45,Sampdoria,Milan,1,2,Away,0,1,A,10,15,4,4,12,10,2,4,5,2,0,1,7,4.7,1.57,6.31,4.37,1.52,1.83,2.19,1.75,2.09
2022/2023,Italy,A,11/09/2022,11:30,Atalanta,Cremonese,1,1,Draw,0,0,D,14,7,6,4,9,17,3,3,2,5,0,0,1.36,5.7,11,1.33,5.44,9.28,1.63,2.51,1.58,2.39
2022/2023,Italy,A,11/09/2022,14:00,Bologna,Fiorentina,2,1,Home,0,0,D,12,13,4,2,8,13,6,8,1,4,0,1,3.12,3.5,2.52,2.97,3.4,2.42,1.97,1.98,1.91,1.9
2022/2023,Italy,A,11/09/2022,14:00,Lecce,Monza,1,1,Draw,0,1,A,7,2,3,1,18,22,8,5,3,3,0,0,2.4,3.46,3.31,2.3,3.35,3.21,2.04,1.91,1.97,1.84
2022/2023,Italy,A,11/09/2022,14:00,Sassuolo,Udinese,1,3,Away,1,0,H,5,17,2,4,7,15,5,6,1,3,1,0,2.75,3.7,2.65,2.69,3.51,2.58,1.72,2.31,1.67,2.21
2022/2023,Italy,A,11/09/2022,17:00,Lazio,Verona,2,0,Home,0,0,D,15,7,6,1,5,23,3,5,2,5,0,0,1.63,4.4,6,1.59,4.23,5.51,1.77,2.29,1.67,2.21
2022/2023,Italy,A,11/09/2022,19:45,Juventus,Salernitana,2,2,Draw,0,2,A,22,11,7,5,13,15,8,2,5,4,2,1,1.44,4.9,9.5,1.41,4.73,8.11,1.85,2.13,1.78,2.05
2022/2023,Italy,A,12/09/2022,19:45,Empoli,Roma,1,2,Away,1,1,D,20,13,3,7,13,12,7,7,3,1,1,0,5,4.08,1.77,4.7,3.93,1.73,1.85,2.09,1.79,2.03
2022/2023,Italy,A,16/09/2022,19:45,Salernitana,Lecce,1,2,Away,0,1,A,8,13,4,4,9,11,4,5,1,3,0,0,2.3,3.46,3.57,2.25,3.33,3.37,2.07,1.88,2.01,1.81
2022/2023,Italy,A,17/09/2022,14:00,Bologna,Empoli,0,1,Away,0,0,D,16,12,3,5,11,16,5,8,2,3,0,0,2.2,3.7,3.6,2.13,3.52,3.42,1.95,2.02,1.88,1.94
2022/2023,Italy,A,17/09/2022,17:00,Spezia,Sampdoria,2,1,Home,1,1,D,6,11,3,8,17,14,3,6,4,5,0,0,2.78,3.4,2.83,2.69,3.24,2.74,2.1,1.88,2,1.8
2022/2023,Italy,A,17/09/2022,19:45,Torino,Sassuolo,0,1,Away,0,0,D,12,10,3,5,13,7,4,3,4,1,0,0,1.92,4,4.6,1.83,3.77,4.3,1.83,2.14,1.77,2.07
2022/2023,Italy,A,18/09/2022,11:30,Udinese,Inter,3,1,Home,1,1,D,20,14,6,3,11,13,7,4,3,4,0,0,4.07,4.05,1.96,3.83,3.8,1.92,1.75,2.29,1.68,2.2
2022/2023,Italy,A,18/09/2022,14:00,Cremonese,Lazio,0,4,Away,0,3,A,18,14,3,6,12,9,8,5,1,1,0,0,4.4,4.15,1.87,4.22,3.9,1.81,1.78,2.25,1.72,2.14
2022/2023,Italy,A,18/09/2022,14:00,Fiorentina,Verona,2,0,Home,1,0,H,15,8,9,1,18,17,7,3,4,4,0,0,1.85,4.1,4.7,1.78,3.85,4.48,1.87,2.11,1.79,2.04
2022/2023,Italy,A,18/09/2022,14:00,Monza,Juventus,1,0,Home,0,0,D,17,10,4,2,16,17,5,3,2,1,0,1,4.7,3.86,1.88,4.41,3.63,1.84,2,1.93,1.94,1.87
2022/2023,Italy,A,18/09/2022,17:00,Roma,Atalanta,0,1,Away,0,1,A,21,4,5,1,9,19,5,1,0,7,0,0,2.15,3.69,3.76,2.07,3.57,3.55,1.92,2.08,1.83,2
2022/2023,Italy,A,18/09/2022,19:45,Milan,Napoli,1,2,Away,0,0,D,22,9,5,4,18,11,9,4,4,3,0,0,2.26,3.75,3.65,2.14,3.5,3.44,1.97,2.02,1.88,1.94
2022/2023,Italy,A,01/10/2022,14:00,Napoli,Torino,3,1,Home,3,1,H,15,16,7,3,4,17,4,4,0,2,0,0,1.65,4.3,5.9,1.6,4.13,5.57,1.89,2.1,1.8,2.02
2022/2023,Italy,A,01/10/2022,17:00,Inter,Roma,1,2,Away,1,1,D,15,10,2,3,15,14,5,1,4,3,0,0,2.15,3.96,3.8,2.08,3.5,3.61,1.92,2.12,1.81,2.02
2022/2023,Italy,A,01/10/2022,19:45,Empoli,Milan,1,3,Away,0,0,D,16,19,4,6,15,10,3,7,4,2,0,0,5.8,4.35,1.66,5.47,4.13,1.61,1.87,2.1,1.81,2.02
2022/2023,Italy,A,02/10/2022,11:30,Lazio,Spezia,4,0,Home,2,0,H,13,14,6,2,3,14,3,6,0,2,0,0,1.44,5.2,8.2,1.4,4.96,7.65,1.67,2.37,1.63,2.29
2022/2023,Italy,A,02/10/2022,14:00,Lecce,Cremonese,1,1,Draw,1,1,D,6,13,1,4,11,15,1,8,3,1,0,0,2.17,3.6,3.75,2.08,3.47,3.6,2.07,1.96,1.99,1.83
2022/2023,Italy,A,02/10/2022,14:00,Sampdoria,Monza,0,3,Away,0,1,A,3,13,1,6,16,24,2,4,2,2,0,0,2.4,3.47,3.28,2.32,3.34,3.16,2,1.92,1.95,1.87
2022/2023,Italy,A,02/10/2022,14:00,Sassuolo,Salernitana,5,0,Home,2,0,H,17,6,11,1,10,8,1,2,1,1,0,0,2.12,3.85,4.11,2.04,3.68,3.5,1.75,2.31,1.69,2.18
2022/2023,Italy,A,02/10/2022,17:00,Atalanta,Fiorentina,1,0,Home,0,0,D,10,16,5,5,12,10,1,5,2,2,0,0,2.02,3.88,4.05,1.97,3.56,3.88,1.98,2.01,1.89,1.93
2022/2023,Italy,A,02/10/2022,19:45,Juventus,Bologna,3,0,Home,1,0,H,17,9,6,1,11,15,2,4,0,1,0,0,1.56,4.5,7,1.51,4.3,6.48,1.9,2.05,1.84,1.98
2022/2023,Italy,A,03/10/2022,19:45,Verona,Udinese,1,2,Away,1,0,H,7,21,2,8,15,11,4,9,3,3,0,0,3.26,3.65,2.37,3.1,3.51,2.27,1.87,2.13,1.81,2.01
2022/2023,Italy,A,08/10/2022,14:00,Sassuolo,Inter,1,2,Away,0,1,A,15,16,3,4,14,17,6,5,3,2,0,0,4.64,4.4,1.76,4.41,4.18,1.73,1.65,2.46,1.6,2.36
2022/2023,Italy,A,08/10/2022,17:00,Milan,Juventus,2,0,Home,1,0,H,21,10,3,3,7,7,9,3,2,3,0,0,2.2,3.58,3.84,2.11,3.38,3.65,2.25,1.82,2.11,1.75
2022/2023,Italy,A,08/10/2022,19:45,Bologna,Sampdoria,1,1,Draw,1,0,H,10,9,3,3,17,21,2,5,2,3,0,0,2.11,3.74,3.8,2.06,3.52,3.63,1.99,1.96,1.94,1.89
2022/2023,Italy,A,09/10/2022,11:30,Torino,Empoli,1,1,Draw,0,0,D,20,6,7,2,15,9,6,1,2,4,0,0,1.82,3.86,5.3,1.76,3.67,4.86,2.09,1.88,2.04,1.8
2022/2023,Italy,A,09/10/2022,14:00,Monza,Spezia,2,0,Home,1,0,H,7,9,4,1,10,20,3,6,3,2,0,0,1.98,3.8,4.35,1.91,3.58,4.14,2.08,1.89,2,1.83
2022/2023,Italy,A,09/10/2022,14:00,Salernitana,Verona,2,1,Home,1,0,H,14,12,4,2,9,15,1,6,3,3,1,1,2.5,3.68,3,2.45,3.46,2.88,1.88,2.08,1.82,2.01
2022/2023,Italy,A,09/10/2022,14:00,Udinese,Atalanta,2,2,Draw,0,1,A,10,9,2,5,11,12,5,3,2,3,0,0,2.61,3.66,2.85,2.56,3.41,2.76,1.9,2.05,1.85,1.98
2022/2023,Italy,A,09/10/2022,17:00,Cremonese,Napoli,1,4,Away,0,1,A,12,21,1,10,18,6,5,2,2,0,0,0,7.5,4.9,1.5,6.93,4.71,1.45,1.72,2.31,1.67,2.23
2022/2023,Italy,A,09/10/2022,19:45,Roma,Lecce,2,1,Home,1,1,D,20,6,6,3,12,11,13,4,2,2,0,1,1.38,5.25,10,1.36,4.98,9.21,1.9,2.1,1.83,2
2022/2023,Italy,A,10/10/2022,19:45,Fiorentina,Lazio,0,4,Away,0,2,A,24,10,3,6,17,9,9,2,4,1,0,0,2.56,3.68,2.96,2.47,3.44,2.87,1.94,2.05,1.87,1.96
2022/2023,Italy,A,15/10/2022,14:00,Empoli,Monza,1,0,Home,1,0,H,11,16,5,4,17,14,2,9,5,3,0,1,2.63,3.45,2.97,2.54,3.31,2.87,2.01,1.93,1.95,1.87
2022/2023,Italy,A,15/10/2022,17:00,Torino,Juventus,0,1,Away,0,0,D,15,14,2,8,11,8,3,6,2,0,0,0,3.18,3.3,2.61,3.05,3.17,2.5,2.39,1.71,2.28,1.64
2022/2023,Italy,A,15/10/2022,19:45,Atalanta,Sassuolo,2,1,Home,1,1,D,16,11,4,3,10,8,3,3,1,4,0,0,1.72,4.34,5.25,1.66,4.15,4.94,1.72,2.33,1.67,2.22
2022/2023,Italy,A,16/10/2022,11:30,Inter,Salernitana,2,0,Home,1,0,H,16,8,6,3,12,14,6,4,0,1,0,0,1.33,6.3,11,1.29,5.85,10.02,1.5,2.79,1.47,2.68
2022/2023,Italy,A,16/10/2022,14:00,Lazio,Udinese,0,0,Draw,0,0,D,8,12,3,2,8,11,7,3,1,4,0,0,2.25,3.92,3.4,2.19,3.61,3.23,1.76,2.34,1.68,2.21
2022/2023,Italy,A,16/10/2022,14:00,Spezia,Cremonese,2,2,Draw,2,1,H,15,24,6,4,12,11,6,8,2,0,0,0,2.58,3.3,3.25,2.47,3.17,3.07,2.05,1.9,1.99,1.84
2022/2023,Italy,A,16/10/2022,17:00,Napoli,Bologna,3,2,Home,1,1,D,30,16,11,3,6,10,6,4,0,4,0,0,1.3,6.3,13.19,1.26,6,11.54,1.59,2.55,1.55,2.45
2022/2023,Italy,A,16/10/2022,19:45,Verona,Milan,1,2,Away,1,1,D,19,16,5,6,7,9,9,3,3,2,0,0,6.4,4.38,1.62,5.98,4.19,1.56,1.83,2.14,1.77,2.06
2022/2023,Italy,A,17/10/2022,17:30,Sampdoria,Roma,0,1,Away,0,1,A,8,7,1,4,20,20,4,3,5,3,0,0,5.4,3.96,1.77,5.01,3.75,1.73,2.01,1.93,1.94,1.87
2022/2023,Italy,A,17/10/2022,19:45,Lecce,Fiorentina,1,1,Draw,1,0,H,6,10,2,5,15,16,2,8,5,5,1,0,4.1,3.45,2.15,3.83,3.32,2.07,2.2,1.79,2.13,1.72
2022/2023,Italy,A,21/10/2022,19:45,Juventus,Empoli,4,0,Home,1,0,H,21,12,7,4,13,11,6,4,2,2,0,0,1.43,5.2,8.5,1.4,4.94,7.8,1.72,2.33,1.68,2.22
2022/2023,Italy,A,22/10/2022,14:00,Salernitana,Spezia,1,0,Home,0,0,D,17,14,4,2,9,8,4,7,2,4,0,0,2.08,3.66,3.94,2.02,3.49,3.8,2.02,1.93,1.95,1.87
2022/2023,Italy,A,22/10/2022,17:00,Milan,Monza,4,1,Home,2,0,H,12,16,7,6,18,9,2,2,1,1,0,0,1.43,5.25,8.75,1.4,4.88,7.9,1.71,2.38,1.64,2.27
2022/2023,Italy,A,22/10/2022,19:45,Fiorentina,Inter,3,4,Away,1,2,A,10,8,4,7,15,14,1,2,4,3,0,0,3.83,3.76,2.1,3.63,3.54,2.05,1.85,2.16,1.79,2.04
2022/2023,Italy,A,23/10/2022,11:30,Udinese,Torino,1,2,Away,1,1,D,16,15,4,4,12,15,7,4,3,4,0,0,2.08,3.5,4.15,2.03,3.37,3.91,2.07,1.85,2.02,1.8
2022/2023,Italy,A,23/10/2022,14:00,Bologna,Lecce,2,0,Home,2,0,H,12,9,3,3,11,14,9,4,5,2,0,0,2.25,3.4,3.79,2.19,3.21,3.62,2.29,1.72,2.21,1.67
2022/2023,Italy,A,23/10/2022,17:00,Atalanta,Lazio,0,2,Away,0,1,A,7,12,0,5,15,9,5,8,4,2,1,0,2.04,3.98,4.05,1.98,3.69,3.75,1.78,2.27,1.71,2.16
2022/2023,Italy,A,23/10/2022,19:45,Roma,Napoli,0,1,Away,0,0,D,6,12,0,5,14,12,3,4,3,4,0,0,3.02,3.75,2.48,2.89,3.52,2.41,1.89,2.12,1.79,2.03
2022/2023,Italy,A,24/10/2022,17:30,Cremonese,Sampdoria,0,1,Away,0,0,D,21,8,4,4,16,15,5,1,3,4,0,0,2.55,3.48,3.08,2.46,3.32,2.95,1.99,1.94,1.94,1.87
2022/2023,Italy,A,24/10/2022,19:45,Sassuolo,Verona,2,1,Home,1,1,D,14,13,3,5,7,19,4,5,1,3,0,0,2,3.85,4,1.96,3.61,3.82,1.78,2.21,1.71,2.13
2022/2023,Italy,A,29/10/2022,14:00,Napoli,Sassuolo,4,0,Home,3,0,H,18,10,6,6,5,6,11,5,0,3,0,1,1.33,6.4,10.5,1.29,5.91,9.52,1.48,2.88,1.44,2.73
2022/2023,Italy,A,29/10/2022,17:00,Lecce,Juventus,0,1,Away,0,0,D,5,13,0,5,16,13,7,7,3,5,0,0,4.75,3.62,1.95,4.42,3.42,1.89,2.24,1.78,2.15,1.7
2022/2023,Italy,A,29/10/2022,19:45,Inter,Sampdoria,3,0,Home,2,0,H,17,9,8,2,5,13,3,3,1,6,0,0,1.27,6.5,13.54,1.25,6.15,12.03,1.56,2.6,1.53,2.48
2022/2023,Italy,A,30/10/2022,11:30,Empoli,Atalanta,0,2,Away,0,1,A,13,20,3,6,10,13,7,2,2,1,0,0,4.63,3.96,1.85,4.35,3.79,1.8,1.83,2.17,1.76,2.06
2022/2023,Italy,A,30/10/2022,14:00,Cremonese,Udinese,0,0,Draw,0,0,D,13,13,2,3,8,9,7,4,1,0,0,0,4.29,3.9,1.92,4.01,3.76,1.87,1.77,2.18,1.73,2.1
2022/2023,Italy,A,30/10/2022,14:00,Spezia,Fiorentina,1,2,Away,1,1,D,10,27,6,5,19,14,5,5,5,3,1,0,4.4,3.75,1.95,4.1,3.59,1.89,1.98,1.95,1.91,1.89
2022/2023,Italy,A,30/10/2022,17:00,Lazio,Salernitana,1,3,Away,1,0,H,13,10,4,6,10,7,4,5,3,3,0,0,1.52,4.78,7,1.49,4.53,6.35,1.7,2.45,1.63,2.27
2022/2023,Italy,A,30/10/2022,19:45,Torino,Milan,2,1,Home,2,0,H,7,12,4,1,11,16,6,1,5,2,0,0,3.86,3.52,2.18,3.63,3.33,2.12,2.23,1.83,2.13,1.72
2022/2023,Italy,A,31/10/2022,17:30,Verona,Roma,1,3,Away,1,1,D,7,14,3,6,9,9,2,4,3,1,1,0,4.65,3.86,1.9,4.32,3.59,1.84,1.98,2.01,1.91,1.88
2022/2023,Italy,A,31/10/2022,19:45,Monza,Bologna,1,2,Away,0,0,D,9,10,3,5,13,18,4,5,4,2,0,0,2.3,3.6,3.54,2.22,3.33,3.32,1.98,1.93,1.91,1.88
2022/2023,Italy,A,04/11/2022,19:45,Udinese,Lecce,1,1,Draw,0,1,A,16,9,5,1,12,18,3,2,2,3,0,0,1.72,4.04,6,1.65,3.85,5.66,2,1.96,1.94,1.88
2022/2023,Italy,A,05/11/2022,14:00,Empoli,Sassuolo,1,0,Home,0,0,D,17,10,1,3,11,11,3,6,2,0,0,0,2.9,3.8,2.6,2.79,3.48,2.51,1.75,2.28,1.7,2.17
2022/2023,Italy,A,05/11/2022,14:00,Salernitana,Cremonese,2,2,Draw,2,1,H,11,11,2,5,14,10,2,2,2,2,0,0,2.24,3.64,3.51,2.17,3.42,3.43,2.05,1.96,1.97,1.85
2022/2023,Italy,A,05/11/2022,17:00,Atalanta,Napoli,1,2,Away,1,2,A,17,7,4,5,10,9,5,2,5,1,0,0,3.54,3.86,2.17,3.39,3.69,2.1,1.76,2.3,1.68,2.21
